filename,title,artist,album,year,genre
Santana - The Columbia Studio Albums Colle(003)(3).mp3,Life Is Anew,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(003)(4).mp3,"Soul Sacrifice / Head, Hands & Feet",Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(003)(5).mp3,Taboo,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(003)(6).mp3,Jugando,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(005)(2).mp3,Songs of Freedom,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(006)(2).mp3,Peace on Earth / Mother Earth / Third Stone from the Sun (Medley),Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(006)(4).mp3,Mother Africa,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(006).mp3,Savor / Toussaint L'Overture,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(007)(5).mp3,Praise,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(007)(10).mp3,Who Loves You,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(008)(1).mp3,Reach Up,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(008)(6).mp3,Who's That Lady,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(008).mp3,Everything's Coming Our Way,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(010)(1).mp3,Right Now,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
Santana - The Columbia Studio Albums Colle(012).mp3,Hannibal,Santana,The Columbia Studio Albums Collection,2014,(17)Rock
"Sherwood - Sing, But Keep Going(001)We Do This .mp3",We Do This To Ourselves,Sherwood,"Sing, But Keep Going",2005,(131)Indie
Sick Puppies - Welcome To The Real World(006)No.mp3,Nothing Really Matters,Sick Puppies,Welcome To The Real World,2001,(17)Rock
SR-71 - Tomorrow - My World.mp3,My World,SR-71,Tomorrow,2002,(121)Punk Rock
The Cure - MTV Unplugged - MTV Unplugged.mp3,MTV Unplugged,The Cure,MTV Unplugged,,(17)Rock
The Killers - Changing Lanes(004)Some body toll.mp3,Some body toll me,The Killers,Changing Lanes,2002,MST
The Offspring - Rare Bonus Songs(010)Total Immo.mp3,Total Immortal,The Offspring,Rare Bonus Songs,2000,(12)Other
The Philadelphia Brass Ensemble - Play Cla(015).mp3,"Silent Night, Holy Night",The Philadelphia Brass Ensemble,Play Classical: Christmas,2014,(32)Classical
Three Doors Down - The Better Life(000)So I Nee.mp3,So I Need You (acoustic),Three Doors Down,The Better Life,,(99)Acoustic
Tomates Fritos - HOTEL MIRAMAR - Granola.mp3,Granola,Tomates Fritos,HOTEL MIRAMAR,2012,
Yandel - Los Nominados - Calentura.mp3,Calentura,Yandel,Los Nominados,,(13)Pop
"Zapato 3 - Amor, Furia y Languidez(007)Corrient.mp3",Corrientes Turbulentas,Zapato 3,"Amor, Furia y Languidez",1989,(12)Other
Zapato 3 - Separación - Obstinado.mp3,Obstinado,Zapato 3,Separación,1994,(12)Other
Zapato 3 - Separación(011)Donde Estás (Instrume.mp3,Donde Estás (Instrumental),Zapato 3,Separación,1994,(12)Other
Noel Grisanti - Sueños de bromazepam(011)Poeta .mp3,Poeta maldito,Noel Grisanti,Sueños de bromazepam,,(80)Folk
"zapato 3 - en vivo cumana (tour amor, f.mp3","zapato 3 - en vivo cumana (tour amor, furia y languidez) l_1.mp3",,,2015,(0)Blues
American Hi-Fi - American Hi-Fi(002)Flavor Of T.mp3,Flavor Of The Week,American Hi-Fi,American Hi-Fi,2004,Progresive
Americania - Sigo - Sal.mp3,Sal,Americania,Sigo,2011,Alternativo
Anubtec - Music for space - Frontier.mp3,Frontier,Anubtec,Music for space,2014,Soundtracks
Anubtec - Music for space - Ice Crystals.mp3,Ice Crystals,Anubtec,Music for space,2014,Soundtracks
